CMDLINE /Users/georgiosmitsos/anaconda3/bin/python artificialneuralnetwork.py
MEM 295.890625 1708550852.3664
MEM 295.890625 1708550852.4726
MEM 301.171875 1708550852.5828
MEM 301.171875 1708550852.6896
MEM 302.937500 1708550852.7975
MEM 302.937500 1708550852.9021
MEM 302.937500 1708550853.0145
MEM 302.937500 1708550853.1239
MEM 302.937500 1708550853.2384
MEM 302.937500 1708550853.3456
MEM 302.953125 1708550853.4467
MEM 302.953125 1708550853.5525
MEM 302.953125 1708550853.6587
MEM 302.953125 1708550853.7665
MEM 302.968750 1708550853.8754
MEM 302.968750 1708550853.9815
MEM 302.968750 1708550854.0918
MEM 302.968750 1708550854.1969
MEM 302.968750 1708550854.3037
MEM 302.968750 1708550854.4130
MEM 302.968750 1708550854.5182
MEM 302.968750 1708550854.6257
MEM 302.968750 1708550854.7316
MEM 302.968750 1708550854.8366
MEM 302.968750 1708550854.9392
MEM 304.468750 1708550855.0451
MEM 304.468750 1708550855.1515
MEM 304.468750 1708550855.2570
MEM 304.468750 1708550855.3584
MEM 304.468750 1708550855.4682
MEM 304.468750 1708550855.5725
MEM 304.468750 1708550855.6732
MEM 304.468750 1708550855.7752
MEM 297.328125 1708550855.8804
MEM 297.453125 1708550855.9854
MEM 297.468750 1708550856.0869
MEM 253.250000 1708550856.1921
MEM 253.250000 1708550856.2941
MEM 253.250000 1708550856.3993
MEM 253.250000 1708550856.5062
MEM 253.250000 1708550856.6119
MEM 253.265625 1708550856.7174
MEM 253.265625 1708550856.8225
MEM 253.265625 1708550856.9302
MEM 253.265625 1708550857.0353
MEM 253.265625 1708550857.1385
MEM 253.281250 1708550857.2455
MEM 253.281250 1708550857.3519
MEM 253.312500 1708550857.4576
MEM 253.312500 1708550857.5656
MEM 253.375000 1708550857.6956
MEM 253.390625 1708550857.8005
MEM 253.390625 1708550857.9048
MEM 253.390625 1708550858.0068
MEM 253.390625 1708550858.1095
MEM 253.390625 1708550858.2112
MEM 253.390625 1708550858.3212
MEM 253.390625 1708550858.4267
MEM 253.390625 1708550858.5334
MEM 253.406250 1708550858.6411
MEM 253.406250 1708550858.7472
MEM 253.406250 1708550858.8558
MEM 253.421875 1708550858.9640
MEM 253.421875 1708550859.0700
MEM 253.421875 1708550859.1789
MEM 253.421875 1708550859.2862
MEM 253.421875 1708550859.3942
MEM 253.421875 1708550859.4975
MEM 253.421875 1708550859.6056
MEM 253.578125 1708550859.7110
MEM 253.578125 1708550859.8144
MEM 253.578125 1708550859.9196
MEM 253.578125 1708550860.0241
MEM 253.578125 1708550860.1295
MEM 253.578125 1708550860.2368
MEM 253.578125 1708550860.3461
MEM 253.578125 1708550860.4540
MEM 253.578125 1708550860.5595
MEM 253.578125 1708550860.6677
MEM 253.578125 1708550860.7719
MEM 253.578125 1708550860.8802
MEM 253.578125 1708550860.9902
MEM 253.578125 1708550861.0942
MEM 253.578125 1708550861.2016
MEM 253.578125 1708550861.3030
MEM 253.593750 1708550861.4133
MEM 253.593750 1708550861.5167
MEM 253.593750 1708550861.6207
MEM 253.593750 1708550861.7277
MEM 253.593750 1708550861.8318
